topology,lambda,pattern_id,z_pattern,frustration_by_edge,rho_vector,lambda_vector,lambda_mean,lambda_max,lambda_min,ground_energy
cycle,0.35,p02,"[1, -1, 1, -1]","[1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0]","[0.046730319173479654, 0.046730319173479654, 0.046730319173479654, 0.046730319173479654]",0.046730319173479654,0.046730319173479654,0.046730319173479654,12.58187159812009
cycle,0.35,p03,"[1, 1, 1, -1]","[0, 0, 1, 1]","[0.0, -1.0, 0.0, 1.0]","[0.02353270391780656, 0.0, 0.02353270391780661, 0.047065407835613166]",0.023532703917806583,0.047065407835613166,0.0,12.690728904455575
cycle,0.35,p04,"[1, -1, -1, 1]","[1, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0]","[0.023704396854813594, 0.023704396854813594, 0.023704396854813594, 0.023704396854813594]",0.023704396854813594,0.023704396854813594,0.023704396854813594,12.69051902239451
cycle,0.35,p05,"[1, 1, -1, 1]","[0, 1, 1, 0]","[-1.0, 0.0, 1.0, 0.0]","[3.3222640967182366e-33, 0.02353270391780657, 0.04706540783561314, 0.02353270391780657]",0.02353270391780657,0.04706540783561314,3.3222640967182366e-33,12.690728904455574
cycle,0.35,p06,"[1, -1, 1, 1]","[1, 1, 0, 0]","[0.0, 1.0, 0.0, -1.0]","[0.023532703917806628, 0.047065407835613256, 0.023532703917806628, 1.181424694435383e-33]",0.023532703917806628,0.047065407835613256,1.181424694435383e-33,12.690728904455574
cycle,0.5,p00,"[1, -1, -1, -1]","[1, 0, 0, 1]","[1.0, 0.0, -1.0, 0.0]","[0.08967899871964505, 0.04483949935982242, 2.7608466819689523e-36, 0.04483949935982262]",0.044839499359822524,0.08967899871964505,2.7608466819689523e-36,12.58105881458599
cycle,0.5,p01,"[1, 1, -1, -1]","[0, 1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.045432231215070874, 0.04543223121507067, 0.04543223121507067, 0.045432231215070874]",0.04543223121507077,0.045432231215070874,0.04543223121507067,12.580274549638544
cycle,0.5,p02,"[1, -1, 1, -1]","[1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0]","[0.08854430625609752, 0.08854430625609755, 0.08854430625609755, 0.08854430625609752]",0.08854430625609755,0.08854430625609755,0.08854430625609752,12.363645805720891
cycle,0.5,p03,"[1, 1, 1, -1]","[0, 0, 1, 1]","[0.0, -1.0, 0.0, 1.0]","[0.04483949935982255, 0.0, 0.04483949935982236, 0.08967899871964491]",0.044839499359822454,0.08967899871964491,0.0,12.581058814585992
cycle,0.5,p04,"[1, -1, -1, 1]","[1, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0]","[0.045432231215070715, 0.045432231215070715, 0.04543223121507071, 0.04543223121507071]",0.04543223121507071,0.045432231215070715,0.04543223121507071,12.580274549638542
cycle,0.5,p05,"[1, 1, -1, 1]","[0, 1, 1, 0]","[-1.0, 0.0, 1.0, 0.0]","[1.156435359053427e-31, 0.04483949935982245, 0.08967899871964488, 0.044839499359822434]",0.04483949935982244,0.08967899871964488,1.156435359053427e-31,12.581058814585992
cycle,0.5,p06,"[1, -1, 1, 1]","[1, 1, 0, 0]","[0.0, 1.0, 0.0, -1.0]","[0.04483949935982237, 0.08967899871964474, 0.04483949935982237, 1.1572822255860205e-31]",0.04483949935982237,0.08967899871964474,1.1572822255860205e-31,12.58105881458599
cycle,0.7,p00,"[1, -1, -1, -1]","[1, 0, 0, 1]","[1.0, 0.0, -1.0, 0.0]","[0.1568649827100025, 0.07843249135500129, 1.1120507121362393e-34, 0.07843249135500119]",0.07843249135500124,0.1568649827100025,1.1120507121362393e-34,12.384179507602818
cycle,0.7,p01,"[1, 1, -1, -1]","[0, 1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.08009475433612462, 0.0800947543361247, 0.0800947543361247, 0.08009475433612462]",0.08009475433612466,0.0800947543361247,0.08009475433612462,12.381674618482762
cycle,0.7,p02,"[1, -1, 1, -1]","[1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0]","[0.15376168788538766, 0.1537616878853877, 0.1537616878853877, 0.15376168788538763]",0.1537616878853877,0.1537616878853877,0.15376168788538763,11.973162310590276
cycle,0.7,p03,"[1, 1, 1, -1]","[0, 0, 1, 1]","[0.0, -1.0, 0.0, 1.0]","[0.07843249135500131, 0.0, 0.07843249135500147, 0.15686498271000276]",0.07843249135500138,0.15686498271000276,0.0,12.384179507602816
cycle,0.7,p04,"[1, -1, -1, 1]","[1, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0]","[0.08009475433612463, 0.08009475433612463, 0.08009475433612463, 0.08009475433612463]",0.08009475433612463,0.08009475433612463,0.08009475433612463,12.38167461848276
cycle,0.7,p05,"[1, 1, -1, 1]","[0, 1, 1, 0]","[-1.0, 0.0, 1.0, 0.0]","[4.8873091247027246e-33, 0.0784324913550015, 0.156864982710003, 0.0784324913550015]",0.0784324913550015,0.156864982710003,4.8873091247027246e-33,12.384179507602816
cycle,0.7,p06,"[1, -1, 1, 1]","[1, 1, 0, 0]","[0.0, 1.0, 0.0, -1.0]","[0.07843249135500137, 0.15686498271000274, 0.07843249135500137, 6.837239352185408e-33]",0.07843249135500137,0.15686498271000274,6.837239352185408e-33,12.384179507602816
cycle,1.0,p00,"[1, -1, -1, -1]","[1, 0, 0, 1]","[1.0, 0.0, -1.0, 0.0]","[0.26335698551230546, 0.13167849275615254, 2.8434087068822586e-35, 0.13167849275615295]",0.13167849275615273,0.26335698551230546,2.8434087068822586e-35,11.998342898912316
cycle,1.0,p01,"[1, 1, -1, -1]","[0, 1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.13567779637378588, 0.13567779637378546, 0.13567779637378546, 0.13567779637378588]",0.1356777963737857,0.13567779637378588,0.13567779637378546,11.99083856693415
cycle,1.0,p02,"[1, -1, 1, -1]","[1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0]","[0.2560888720918268, 0.2560888720918266, 0.25608887209182674, 0.25608887209182685]",0.25608887209182674,0.25608887209182685,0.2560888720918266,11.21080262574504
cycle,1.0,p03,"[1, 1, 1, -1]","[0, 0, 1, 1]","[0.0, -1.0, 0.0, 1.0]","[0.13167849275615323, 0.0, 0.13167849275615268, 0.2633569855123059]",0.13167849275615295,0.2633569855123059,0.0,11.998342898912318
cycle,1.0,p04,"[1, -1, -1, 1]","[1, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0]","[0.1356777963737856, 0.1356777963737856, 0.13567779637378563, 0.13567779637378563]",0.13567779637378563,0.13567779637378563,0.1356777963737856,11.99083856693415
cycle,1.0,p05,"[1, 1, -1, 1]","[0, 1, 1, 0]","[-1.0, 0.0, 1.0, 0.0]","[3.375879781574059e-31, 0.13167849275615284, 0.2633569855123057, 0.13167849275615282]",0.13167849275615284,0.2633569855123057,3.375879781574059e-31,11.998342898912322
cycle,1.0,p06,"[1, -1, 1, 1]","[1, 1, 0, 0]","[0.0, 1.0, 0.0, -1.0]","[0.1316784927561527, 0.26335698551230546, 0.13167849275615273, 2.8026800490027735e-31]",0.13167849275615273,0.26335698551230546,2.8026800490027735e-31,11.998342898912318
cycle,1.2,p00,"[1, -1, -1, -1]","[1, 0, 0, 1]","[1.0, 0.0, -1.0, 0.0]","[0.33139547484726856, 0.16569773742363436, 1.756956312679271e-35, 0.1656977374236342]",0.16569773742363428,0.33139547484726856,1.756956312679271e-35,11.692385359031295
cycle,1.2,p01,"[1, 1, -1, -1]","[0, 1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.17134488052214536, 0.17134488052214555, 0.17134488052214555, 0.17134488052214536]",0.17134488052214547,0.17134488052214555,0.17134488052214536,11.680094681378314
cycle,1.2,p02,"[1, -1, 1, -1]","[1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0]","[0.32123005856154746, 0.3212300585615473, 0.3212300585615473, 0.3212300585615474]",0.3212300585615474,0.32123005856154746,0.3212300585615473,10.607700010855009
cycle,1.2,p03,"[1, 1, 1, -1]","[0, 0, 1, 1]","[0.0, -1.0, 0.0, 1.0]","[0.1656977374236341, 0.0, 0.1656977374236342, 0.3313954748472683]",0.16569773742363414,0.3313954748472683,0.0,11.692385359031295
cycle,1.2,p04,"[1, -1, -1, 1]","[1, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0]","[0.1713448805221458, 0.1713448805221458, 0.1713448805221458, 0.1713448805221458]",0.1713448805221458,0.1713448805221458,0.1713448805221458,11.680094681378312
cycle,1.2,p05,"[1, 1, -1, 1]","[0, 1, 1, 0]","[-1.0, 0.0, 1.0, 0.0]","[9.173445504636094e-32, 0.1656977374236343, 0.3313954748472686, 0.1656977374236343]",0.1656977374236343,0.3313954748472686,9.173445504636094e-32,11.692385359031293
cycle,1.2,p06,"[1, -1, 1, 1]","[1, 1, 0, 0]","[0.0, 1.0, 0.0, -1.0]","[0.16569773742363433, 0.33139547484726867, 0.16569773742363433, 7.410853623907483e-33]",0.16569773742363433,0.33139547484726867,7.410853623907483e-33,11.692385359031293
cycle,1.4,p00,"[1, -1, -1, -1]","[1, 0, 0, 1]","[1.0, 0.0, -1.0, 0.0]","[0.3948423575516705, 0.19742117877583543, 1.162454638597751e-33, 0.19742117877583512]",0.19742117877583526,0.3948423575516705,1.162454638597751e-33,11.354993412519413
cycle,1.4,p01,"[1, 1, -1, -1]","[0, 1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.20455721437250982, 0.20455721437251004, 0.20455721437251004, 0.20455721437250982]",0.20455721437250993,0.20455721437251004,0.20455721437250982,11.33706130715341
cycle,1.4,p02,"[1, -1, 1, -1]","[1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0]","[0.38204916597646343, 0.3820491659764633, 0.3820491659764633, 0.38204916597646343]",0.38204916597646343,0.38204916597646343,0.3820491659764633,9.943269713627444
cycle,1.4,p03,"[1, 1, 1, -1]","[0, 0, 1, 1]","[0.0, -1.0, 0.0, 1.0]","[0.197421178775835, 0.0, 0.1974211787758353, 0.3948423575516703]",0.19742117877583515,0.3948423575516703,0.0,11.354993412519411
cycle,1.4,p04,"[1, -1, -1, 1]","[1, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0]","[0.20455721437251037, 0.20455721437251037, 0.20455721437251034, 0.20455721437251034]",0.20455721437251034,0.20455721437251037,0.20455721437251034,11.337061307153409
cycle,1.4,p05,"[1, 1, -1, 1]","[0, 1, 1, 0]","[-1.0, 0.0, 1.0, 0.0]","[7.250575821205032e-33, 0.1974211787758355, 0.3948423575516711, 0.19742117877583554]",0.19742117877583554,0.3948423575516711,7.250575821205032e-33,11.354993412519411
cycle,1.4,p06,"[1, -1, 1, 1]","[1, 1, 0, 0]","[0.0, 1.0, 0.0, -1.0]","[0.19742117877583537, 0.39484235755167074, 0.19742117877583537, 2.6541408201842485e-32]",0.19742117877583537,0.39484235755167074,2.6541408201842485e-32,11.354993412519411
path,0.1,p00,"[1, -1, -1, -1]","[1, 0, 0]","[0.5, 0.5, -0.5, -0.5]","[0.001185543319952921, 0.001185543319952921, 0.0, 0.0]",0.0005927716599764605,0.001185543319952921,0.0,9.59655431468769
path,0.1,p01,"[1, 1, -1, -1]","[0, 1, 0]","[-0.5, 0.5, 0.5, -0.5]","[0.0, 0.0020546539766061636, 0.0020546539766061636, 2.116121048455581e-37]",0.0010273269883030818,0.0020546539766061636,0.0,9.595461046025237
path,0.1,p02,"[1, -1, 1, -1]","[1, 1, 1]","[-0.5, 0.5, 0.5, -0.5]","[0.0011849350161229632, 0.003237982172618074, 0.003237982172618077, 0.001184935016122966]",0.0022114585943705197,0.003237982172618077,0.0011849350161229632,9.588571484230048
path,0.1,p03,"[1, 1, 1, -1]","[0, 0, 1]","[-0.5, -0.5, 0.5, 0.5]","[0.0, 0.0, 0.001185543319952921, 0.001185543319952921]",0.0005927716599764605,0.001185543319952921,0.0,9.59655431468769
path,0.1,p04,"[1, -1, -1, 1]","[1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.0011855433199529225, 0.0011855433199529225, 0.0011855433199529203, 0.0011855433199529203]",0.0011855433199529214,0.0011855433199529225,0.0011855433199529203,9.593108629375383
path,0.1,p05,"[1, 1, -1, 1]","[0, 1, 1]","[-1.0, 0.0, 1.0, 0.0]","[0.0, 0.0020538503358696883, 0.00323878511947316, 0.001184934783603472]",0.0016193925597365803,0.00323878511947316,0.0,9.592016265301991
path,0.1,p06,"[1, -1, 1, 1]","[1, 1, 0]","[0.0, 1.0, 0.0, -1.0]","[0.0011849347836034715, 0.0032387851194731563, 0.002053850335869685, 2.4752981726961566e-34]",0.0016193925597365781,0.0032387851194731563,2.4752981726961566e-34,9.592016265301993
path,0.2,p00,"[1, -1, -1, -1]","[1, 0, 0]","[0.5, 0.5, -0.5, -0.5]","[0.004700539357556969, 0.004700539357556969, 0.0, 0.0]",0.0023502696787784847,0.004700539357556969,0.0,9.586248130337788
path,0.2,p01,"[1, 1, -1, -1]","[0, 1, 0]","[-0.5, 0.5, 0.5, -0.5]","[0.0, 0.008084504140266385, 0.008084504140266385, 3.386882948902397e-36]",0.004042252070133192,0.008084504140266385,0.0,9.58192118714825
path,0.2,p02,"[1, -1, 1, -1]","[1, 1, 1]","[-0.5, 0.5, 0.5, -0.5]","[0.004691137273736702, 0.012751033132787349, 0.012751033132787363, 0.004691137273736716]",0.008721085203262032,0.012751033132787363,0.004691137273736702,9.554445752196013
path,0.2,p03,"[1, 1, 1, -1]","[0, 0, 1]","[-0.5, -0.5, 0.5, 0.5]","[0.0, 0.0, 0.004700539357556969, 0.004700539357556969]",0.0023502696787784847,0.004700539357556969,0.0,9.586248130337788
path,0.2,p04,"[1, -1, -1, 1]","[1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.0047005393575569755, 0.0047005393575569755, 0.004700539357556968, 0.004700539357556968]",0.004700539357556971,0.0047005393575569755,0.004700539357556968,9.572496260675576
path,0.2,p05,"[1, 1, -1, 1]","[0, 1, 1]","[-1.0, 0.0, 1.0, 0.0]","[0.0, 0.00807218633705424, 0.012763309563397263, 0.004691123226343022]",0.006381654781698632,0.012763309563397263,0.0,9.56818348033269
path,0.2,p06,"[1, -1, 1, 1]","[1, 1, 0]","[0.0, 1.0, 0.0, -1.0]","[0.004691123226343022, 0.012763309563397267, 0.008072186337054246, 3.2601009628498234e-33]",0.006381654781698633,0.012763309563397267,3.2601009628498234e-33,9.568183480332692
path,0.35,p00,"[1, -1, -1, -1]","[1, 0, 0]","[0.5, 0.5, -0.5, -0.5]","[0.014057783948623167, 0.014057783948623167, 0.0, 0.0]",0.0070288919743115835,0.014057783948623167,0.0,9.558139937830939
path,0.35,p01,"[1, 1, -1, -1]","[0, 1, 0]","[-0.5, 0.5, 0.5, -0.5]","[0.0, 0.023704396854813584, 0.023704396854813584, 1.357508200012386e-35]",0.011852198427406792,0.023704396854813584,0.0,9.545259511197257
path,0.35,p02,"[1, -1, 1, -1]","[1, 1, 1]","[-0.5, 0.5, 0.5, -0.5]","[0.013977365134832853, 0.03747616042190349, 0.03747616042190351, 0.013977365134832862]",0.025726762778368176,0.03747616042190351,0.013977365134832853,9.461789564391504
path,0.35,p03,"[1, 1, 1, -1]","[0, 0, 1]","[-0.5, -0.5, 0.5, 0.5]","[0.0, 0.0, 0.014057783948623167, 0.014057783948623167]",0.0070288919743115835,0.014057783948623167,0.0,9.558139937830939
path,0.35,p04,"[1, -1, -1, 1]","[1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.014057783948623179, 0.014057783948623179, 0.014057783948623153, 0.014057783948623153]",0.014057783948623167,0.014057783948623179,0.014057783948623153,9.516279875661876
path,0.35,p05,"[1, 1, -1, 1]","[0, 1, 1]","[-1.0, 0.0, 1.0, 0.0]","[0.0, 0.023601276472227314, 0.037578295504538284, 0.013977019032310968]",0.018789147752269142,0.037578295504538284,0.0,9.503524808991434
path,0.35,p06,"[1, -1, 1, 1]","[1, 1, 0]","[0.0, 1.0, 0.0, -1.0]","[0.013977019032310922, 0.03757829550453816, 0.023601276472227237, 1.2639888679212313e-32]",0.01878914775226908,0.03757829550453816,1.2639888679212313e-32,9.503524808991434
path,0.5,p00,"[1, -1, -1, -1]","[1, 0, 0]","[0.5, 0.5, -0.5, -0.5]","[0.027695064116889764, 0.027695064116889764, 0.0, 0.0]",0.013847532058444882,0.027695064116889764,0.0,9.515347965328223
path,0.5,p01,"[1, 1, -1, -1]","[0, 1, 0]","[-0.5, 0.5, 0.5, -0.5]","[0.0, 0.04543223121507059, 0.04543223121507059, 5.44991623502998e-35]",0.022716115607535295,0.04543223121507059,0.0,9.490137274819272
path,0.5,p02,"[1, -1, 1, -1]","[1, 1, 1]","[-0.5, 0.5, 0.5, -0.5]","[0.027402334417699018, 0.07210956540297767, 0.07210956540297768, 0.027402334417699025]",0.04975594991033834,0.07210956540297768,0.027402334417699018,9.321788627857192
path,0.5,p03,"[1, 1, 1, -1]","[0, 0, 1]","[-0.5, -0.5, 0.5, 0.5]","[0.0, 0.0, 0.027695064116889764, 0.027695064116889764]",0.013847532058444882,0.027695064116889764,0.0,9.515347965328223
path,0.5,p04,"[1, -1, -1, 1]","[1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.02769506411688984, 0.02769506411688984, 0.027695064116889954, 0.027695064116889954]",0.0276950641168899,0.027695064116889954,0.02769506411688984,9.430695930656444
path,0.5,p05,"[1, 1, -1, 1]","[0, 1, 1]","[-1.0, 0.0, 1.0, 0.0]","[0.0, 0.04506771275752787, 0.07246769466579518, 0.02739998190826731]",0.03623384733289759,0.07246769466579518,0.0,9.405964882700577
path,0.5,p06,"[1, -1, 1, 1]","[1, 1, 0]","[0.0, 1.0, 0.0, -1.0]","[0.027399981908267146, 0.07246769466579495, 0.04506771275752781, 4.192920083324329e-33]",0.03623384733289747,0.07246769466579495,4.192920083324329e-33,9.405964882700578
path,0.7,p00,"[1, -1, -1, -1]","[1, 0, 0]","[0.5, 0.5, -0.5, -0.5]","[0.05100684210801749, 0.05100684210801749, 0.0, 0.0]",0.025503421054008744,0.05100684210801749,0.0,9.436784285061123
path,0.7,p01,"[1, 1, -1, -1]","[0, 1, 0]","[-0.5, 0.5, 0.5, -0.5]","[0.0, 0.08009475433612465, 0.08009475433612465, 2.1846783991376996e-34]",0.04004737716806232,0.08009475433612465,0.0,9.390837309241382
path,0.7,p02,"[1, -1, 1, -1]","[1, 1, 1]","[-0.5, 0.5, 0.5, -0.5]","[0.05011512446813628, 0.12810563910173145, 0.12810563910173142, 0.05011512446813627]",0.08911038178493386,0.12810563910173145,0.05011512446813627,9.067566766954593
path,0.7,p03,"[1, 1, 1, -1]","[0, 0, 1]","[-0.5, -0.5, 0.5, 0.5]","[0.0, 0.0, 0.05100684210801749, 0.05100684210801749]",0.025503421054008744,0.05100684210801749,0.0,9.436784285061123
path,0.7,p04,"[1, -1, -1, 1]","[1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.05100684210801752, 0.05100684210801752, 0.051006842108017425, 0.051006842108017425]",0.051006842108017474,0.05100684210801752,0.051006842108017425,9.273568570122245
path,0.7,p05,"[1, 1, -1, 1]","[0, 1, 1]","[-1.0, 0.0, 1.0, 0.0]","[0.0, 0.07903345809442748, 0.129136509312759, 0.0501030512183315]",0.0645682546563795,0.129136509312759,0.0,9.229212775249174
path,0.7,p06,"[1, -1, 1, 1]","[1, 1, 0]","[0.0, 1.0, 0.0, -1.0]","[0.05010305121833137, 0.12913650931275863, 0.07903345809442727, 5.076420371316588e-32]",0.06456825465637932,0.12913650931275863,5.076420371316588e-32,9.229212775249174
path,1.0,p00,"[1, -1, -1, -1]","[1, 0, 0]","[0.5, 0.5, -0.5, -0.5]","[0.09256553640691821, 0.09256553640691821, 0.0, 0.0]",0.046282768203459106,0.09256553640691821,0.0,9.277403858868142
path,1.0,p01,"[1, 1, -1, -1]","[0, 1, 0]","[-0.5, 0.5, 0.5, -0.5]","[0.0, 0.1356777963737853, 0.1356777963737853, 8.76852603335132e-34]",0.06783889818689265,0.1356777963737853,0.0,9.195419283467077
path,1.0,p02,"[1, -1, 1, -1]","[1, 1, 1]","[-0.5, 0.5, 0.5, -0.5]","[0.09012985378737799, 0.22045152966642406, 0.22045152966642403, 0.09012985378737795]",0.155290691726901,0.22045152966642406,0.09012985378737795,8.56025481979715
path,1.0,p03,"[1, 1, 1, -1]","[0, 0, 1]","[-0.5, -0.5, 0.5, 0.5]","[0.0, 0.0, 0.09256553640691821, 0.09256553640691821]",0.046282768203459106,0.09256553640691821,0.0,9.277403858868142
path,1.0,p04,"[1, -1, -1, 1]","[1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.09256553640691809, 0.09256553640691809, 0.09256553640691832, 0.09256553640691832]",0.09256553640691821,0.09256553640691832,0.09256553640691809,8.954807717736283
path,1.0,p05,"[1, 1, -1, 1]","[0, 1, 1]","[-1.0, 0.0, 1.0, 0.0]","[0.0, 0.13296802624479145, 0.2230465482318433, 0.09007852198705185]",0.11152327411592165,0.2230465482318433,0.0,8.877889799762247
path,1.0,p06,"[1, -1, 1, 1]","[1, 1, 0]","[0.0, 1.0, 0.0, -1.0]","[0.09007852198705149, 0.2230465482318426, 0.13296802624479112, 4.9851684155695504e-33]",0.1115232741159213,0.2230465482318426,4.9851684155695504e-33,8.87788979976225
path,1.2,p00,"[1, -1, -1, -1]","[1, 0, 0]","[0.5, 0.5, -0.5, -0.5]","[0.12200709887457198, 0.12200709887457198, 0.0, 0.0]",0.06100354943728599,0.12200709887457198,0.0,9.146943282172453
path,1.2,p01,"[1, 1, -1, -1]","[0, 1, 0]","[-0.5, 0.5, 0.5, -0.5]","[0.0, 0.17134488052214547, 0.17134488052214547, 1.5689398598423354e-33]",0.08567244026107274,0.17134488052214547,0.0,9.040047340689156
path,1.2,p02,"[1, -1, 1, -1]","[1, 1, 1]","[-0.5, 0.5, 0.5, -0.5]","[0.11829370835354824, 0.2817922995851492, 0.2817922995851491, 0.11829370835354815]",0.20004300396934868,0.2817922995851492,0.11829370835354815,8.150975348473443
path,1.2,p03,"[1, 1, 1, -1]","[0, 0, 1]","[-0.5, -0.5, 0.5, 0.5]","[0.0, 0.0, 0.12200709887457198, 0.12200709887457198]",0.06100354943728599,0.12200709887457198,0.0,9.146943282172453
path,1.2,p04,"[1, -1, -1, 1]","[1, 0, 1]","[0.0, 0.0, 0.0, 0.0]","[0.12200709887457209, 0.12200709887457209, 0.12200709887457198, 0.12200709887457198]",0.12200709887457203,0.12200709887457209,0.12200709887457198,8.693886564344902
path,1.2,p05,"[1, 1, -1, 1]","[0, 1, 1]","[-1.0, 0.0, 1.0, 0.0]","[0.0, 0.16737218173506802, 0.2855731567680898, 0.11820097503302178]",0.1427865783840449,0.2855731567680898,0.0,8.59561715117682
path,1.2,p06,"[1, -1, 1, 1]","[1, 1, 0]","[0.0, 1.0, 0.0, -1.0]","[0.1182009750330219, 0.28557315676809014, 0.16737218173506824, 5.823509838225179e-32]",0.14278657838404507,0.28557315676809014,5.823509838225179e-32,8.59561715117682
path,1.4,p00,"[1, -1, -1, -1]","[1, 0, 0]","[0.5, 0.5, -0.5, -0.5]","[0.15134407563724953, 0.15134407563724953, 0.0, 0.0]",0.07567203781862476,0.15134407563724953,0.0,8.999804988206002
